Vertex 0:		-149.6		360.8		2.028		0.282		0
Vertex 1:		-149.82		361.02		1.755		0.3033333		0
Vertex 2:		-149.6		361.24		1.911		0.3033333		0.02133333
Vertex 3:		-149.38		361.02		2.067		0.282		0.02133333
Vertex 4:		-149.82		361.02		1.755		0.282		0
Vertex 5:		-150.04		361.24		1.287		0.3033333		0
Vertex 6:		-149.82		361.46		1.716		0.3033333		0.02133333
Vertex 7:		-149.6		361.24		1.911		0.282		0.02133333
Vertex 8:		-150.04		361.24		1.287		0.282		0.02133333
Vertex 9:		-150.26		361.46		1.014		0.3033333		0.02133333
Vertex 10:		-150.04		361.68		1.443		0.3033333		0.04266667
Vertex 11:		-149.82		361.46		1.716		0.282		0.04266667
Vertex 12:		-150.26		361.46		1.014		0.282		0
Vertex 13:		-150.48		361.68		0.78		0.3033333		0
Vertex 14:		-150.26		361.9		1.287		0.3033333		0.02133333
Vertex 15:		-150.04		361.68		1.443		0.282		0.02133333
Vertex 16:		-150.48		361.68		0.78		0.2606667		0.9386666
Vertex 17:		-150.7		361.9		0.858		0.282		0.9386666
Vertex 18:		-150.48		362.12		1.287		0.282		0.96
Vertex 19:		-150.26		361.9		1.287		0.2606667		0.96
Vertex 20:		-150.7		361.9		0.858		0.282		0.02133333
Vertex 21:		-150.92		362.12		1.053		0.3033333		0.02133333
Vertex 22:		-150.7		362.34		1.443		0.3033333		0.04266667
Vertex 23:		-150.48		362.12		1.287		0.282		0.04266667
Vertex 24:		-150.92		362.12		1.053		0.2606667		0.96
Vertex 25:		-151.14		362.34		1.326		0.282		0.96
Vertex 26:		-150.92		362.56		1.287		0.282		0.9813333
Vertex 27:		-150.7		362.34		1.443		0.2606667		0.9813333
Vertex 28:		-151.14		362.34		1.326		0.2606667		0.96
Vertex 29:		-151.36		362.56		1.638		0.282		0.96
Vertex 30:		-151.14		362.78		1.248		0.282		0.9813333
Vertex 31:		-150.92		362.56		1.287		0.2606667		0.9813333
